T,mean_f,sem_f,var_f,chi_f,J,h,L,num_runs
2.0,0.02532,0.0010435163227230676,2.1778526315789464e-05,0.02722315789473683,1.0,0.2,50,20
2.05,0.02918,0.00113637466023361,2.5826947368421053e-05,0.03149627727856227,1.0,0.2,50,20
2.1,0.03729999999999999,0.001318012858335169,3.474315789473684e-05,0.04136090225563909,1.0,0.2,50,20
2.15,0.038180000000000006,0.0013996916953762579,3.9182736842105274e-05,0.04556132190942474,1.0,0.2,50,20
2.2,0.04244,0.0008877647862972902,1.576252631578947e-05,0.017911961722488032,1.0,0.2,50,20
2.25,0.049540000000000015,0.0015924228478377813,5.071621052631581e-05,0.05635134502923979,1.0,0.2,50,20
2.3,0.05773999999999999,0.001774029015368244,6.294357894736844e-05,0.06841693363844395,1.0,0.2,50,20
2.35,0.06636000000000002,0.0020323489132683783,8.260884210526316e-05,0.0878817469204927,1.0,0.2,50,20
2.4,0.07618,0.0025917236694808668,0.0001343406315789474,0.13993815789473688,1.0,0.2,50,20
2.4499999999999997,0.07819999999999999,0.002456784376717707,0.00012071578947368422,0.1231793770139635,1.0,0.2,50,20
2.5,0.09613999999999999,0.0025681900241220474,0.00013191200000000003,0.13191200000000003,1.0,0.2,50,20
2.55,0.11156000000000002,0.0027453156275257028,0.00015073515789473688,0.14777956656346755,1.0,0.2,50,20
2.5999999999999996,0.12074000000000003,0.00313879292923754,0.00019704042105263153,0.18946194331983804,1.0,0.2,50,20
2.65,0.12878,0.003625230301214269,0.00026284589473684207,0.2479678252234359,1.0,0.2,50,20
2.6999999999999997,0.14644000000000001,0.0035060128801516787,0.0002458425263157895,0.22763196881091619,1.0,0.2,50,20
2.75,0.1547,0.004310659981219141,0.0003716357894736842,0.3378507177033493,1.0,0.2,50,20
2.8,0.17029999999999998,0.00430371932170303,0.0003704399999999999,0.3307499999999999,1.0,0.2,50,20
