J,mean_f,std_f,T,L
0.0,0.49984,0.0018713845142033312,1.5,50
0.2,0.49207999999999996,0.003055539232279631,1.5,50
0.4,0.4948,0.00811201577907736,1.5,50
0.6,0.41768,0.04620059220399669,1.5,50
0.8,0.026879999999999998,0.003992633216312262,1.5,50
1.0,0.00776,0.0010030353931940786,1.5,50
1.2,0.0009599999999999999,0.00014310835055998653,1.5,50
1.5,0.00048000000000000007,0.00017527121840165314,1.5,50
2.0,0.0,0.0,1.5,50
