time_step,time_sec,f_t,I_Ca_pA,n_Ca_excess_fmol,S_E_perturbed,S_E_control
106,1.06,0.0659825531752023,-16.12536771155384,0.08356411728016705,0.025913707604751424,0.0
107,1.07,0.0690655618092526,-16.878819123928714,0.0874686175256709,0.0261323791485657,0.0
108,1.08,0.067975757828786,-16.612483720509616,0.08608842680473451,0.02634760021557747,0.0
109,1.09,0.0692189095746069,-16.916295532237992,0.08766282599491108,0.0265667572805649,0.0
110,1.1,0.0682099004213102,-16.669705443824324,0.08638495851077538,0.02678271967684187,0.0
111,1.11,0.0711383003423281,-17.385372286959544,0.09009365335005205,0.027007953810216923,0.0
112,1.12,0.0699851566374929,-17.103557392416796,0.08863324554291753,0.02722953692407426,0.0
113,1.1300000000000001,0.0714666508753538,-17.465617333998956,0.0905094954345181,0.027455810662660562,0.0
114,1.1400000000000001,0.0731014729803359,-17.86514882099392,0.09257992859508689,0.027687260484148157,0.0
115,1.1500000000000001,0.0700277525729688,-17.113967343070613,0.08868719149645339,0.0279089784628892,0.0
116,1.16,0.0722436325704852,-17.655502613307135,0.09149350994096044,0.02813771223774153,0.0
117,1.17,0.0731705517253024,-17.88203086192798,0.09266741390852454,0.02836938077251272,0.0
118,1.18,0.067910380290773,-16.59650621145907,0.08600562891360868,0.02858439484479669,0.0
119,1.19,0.0728524372024471,-17.804287376588654,0.09226453529869232,0.028815056183043475,0.0
120,1.2,0.073836964683491,-18.04489442936226,0.0935113977787338,0.02904883467749031,0.0
121,1.21,0.0712100196604155,-17.402899653218178,0.09018448283784102,0.029274295884585078,0.0
122,1.22,0.0743944633052131,-18.181140601135617,0.09421744624105102,0.029509839500187596,0.0
123,1.23,0.0724765978431617,-17.712436613359483,0.09178855062113014,0.029739310876740532,0.0
124,1.24,0.0745833289857536,-18.22729717435462,0.09445663665002135,0.029975452468365416,0.0
125,1.25,0.0755639734204595,-18.466955255816437,0.09569858141584929,0.030214698921905092,0.0
126,1.26,0.0749787166905531,-18.323925325611366,0.09495737848168817,0.030452092368109307,0.0
127,1.27,0.0726018157833771,-17.743038419941517,0.0919471338547003,0.03068196020274605,0.0
128,1.28,0.0783020727372602,-19.136114847093957,0.09916626857591312,0.03092987587418594,0.0
129,1.29,0.0762050212735996,-18.62361988692186,0.09651044145163423,0.03117115197781517,0.0
130,1.3,0.0804165254065555,-19.652862459307876,0.10184413359230905,0.031425762311795946,0.0
131,1.31,0.0790021346970694,-19.307201838723703,0.10005286748574235,0.031675894480510336,0.0
132,1.32,0.0756699058951241,-18.49284391917304,0.09583274042168752,0.03191547633156466,0.0
133,1.33,0.0805293917596372,-19.68044568181325,0.10198707406235814,0.032170444016720534,0.0
134,1.34,0.0799973902762344,-19.550430713762783,0.10131331664902722,0.0324237273083432,0.0
135,1.35,0.0795021174498468,-19.429391801827464,0.10068607452882554,0.03267544249466536,0.0
136,1.36,0.0813786836072272,-19.888002720420857,0.10306266632337077,0.03293309916047371,0.0
137,1.37,0.0815302766077241,-19.925050284631045,0.10325465245701945,0.0331912357916162,0.0
138,1.3800000000000001,0.0840871950996098,-20.549931391923867,0.10649288175324592,0.033457467995999246,0.0
139,1.3900000000000001,0.0808912991815453,-19.76889164176744,0.10244541452955092,0.03371358153232307,0.0
140,1.4000000000000001,0.0857811427798579,-20.96391248107033,0.10863819495812992,0.03398517701971848,0.0
141,1.41,0.0848906162913827,-20.7462781763563,0.1075103807656957,0.034253952971632695,0.0
142,1.42,0.0811822041726005,-19.839985434355842,0.10281383341636442,0.03451098755517357,0.0
143,1.43,0.0807192984159147,-19.726856657381514,0.10222758282314097,0.03476655651223137,0.0
144,1.44,0.0828895208569514,-20.25723375243965,0.10497607790039722,0.03502899670698223,0.0
145,1.45,0.0840990941339354,-20.55283937736365,0.10650795137774603,0.0352952665854267,0.0
146,1.46,0.0828293794220334,-20.24253588601763,0.10489991131273063,0.03555751636370852,0.0
147,1.47,0.0845640118666911,-20.6664598578625,0.10709675005370005,0.03582525823884286,0.0
148,1.48,0.0853017092871305,-20.84674451785229,0.10803101268514428,0.03609533577055579,0.0
149,1.49,0.0830321634040794,-20.29209393006333,0.10515672866281459,0.036358227592212855,0.0
150,1.5,0.0848892337428752,-20.745940297599116,0.10750862982639331,0.036626999166778806,0.0
151,1.51,0.0831242487653285,-20.314598520133547,0.10527335088424909,0.03689018254398946,0.0
