time_step,f_t
0,0.0776130961596234
1,0.08111711495409941
2,0.0777864451022062
3,0.07922058642059074
4,0.074711560580822
5,0.07641637801819204
6,0.07990588268357812
7,0.07880483518297104
8,0.07601771393307839
9,0.07907063484036202
10,0.07843141507180419
11,0.08218634374508986
12,0.07957895795620798
13,0.08207935287664207
14,0.08327814763492067
15,0.08265146388356602
16,0.08487747078645791
17,0.0839672795175724
18,0.08313658255270312
19,0.08386772685591173
20,0.08628699631531986
21,0.08310077588721607
22,0.08440706548406719
23,0.08549242171203095
24,0.08249910044117545
25,0.08365405335520834
26,0.0853987423557995
27,0.08514668259805498
28,0.08518618901304124
29,0.08659829236321125
30,0.08353819278820822
31,0.08422669780344759
32,0.08958495643548792
33,0.08285432068282485
34,0.08631400133402423
35,0.08264360887345812
36,0.08597472297508203
37,0.08621727034326986
38,0.08638405634009644
39,0.08500863781628583
40,0.08378223337703311
41,0.0816275742776636
42,0.0877969774451396
43,0.08363321523066167
44,0.08276420779213228
45,0.08418166524093168
46,0.0791034302400289
47,0.08117671167493497
48,0.08264550547888741
49,0.08004091989052056
50,0.07752528544255335
51,0.08080577505563835
52,0.07983418670500615
53,0.08144207522465913
54,0.08017202082085809
55,0.07806257777953551
56,0.08348990159378487
57,0.077541576456535
58,0.07746887039416889
59,0.08087506256088284
60,0.07941629813334534
61,0.08040562911688123
62,0.07915553675534946
63,0.07646116534041901
64,0.080552784719902
65,0.07296458730837621
66,0.07428833208023283
67,0.07430250706580782
68,0.07330218267104897
69,0.07210535488111756
70,0.07115661443609303
71,0.07215306633068816
72,0.07595153882698127
73,0.07188547374858764
74,0.06982324554376246
75,0.07095457045596558
76,0.06716327232055289
77,0.06600017209649424
78,0.06925282426791594
79,0.06735552576391556
80,0.06752837543630799
81,0.06715777041550292
82,0.06620307414170812
83,0.06830057445198166
84,0.06933197951229311
85,0.06475218039343444
86,0.0700008680711987
87,0.06598373669378978
88,0.06374966172296322
89,0.06570683887952188
90,0.06901660511221212
91,0.0653722578345959
92,0.06666614372297809
93,0.06651912718232404
94,0.06461705119895872
95,0.06238313359296376
96,0.06765311720565367
97,0.06645112872176688
98,0.0645493470838056
99,0.06511304479038871
100,0.06455241285257238
101,0.06552371250483979
102,0.06714117172091619
103,0.06589729444589786
104,0.06720693312916019
105,0.06740954663781135
106,0.0659825531752023
107,0.0690655618092526
108,0.06797575782878602
109,0.06921890957460695
110,0.06820990042131023
111,0.0711383003423281
112,0.06998515663749298
113,0.07146665087535384
114,0.07310147298033597
115,0.07002775257296882
116,0.07224363257048527
117,0.07317055172530249
118,0.06791038029077301
119,0.07285243720244718
120,0.07383696468349106
121,0.07121001966041557
122,0.07439446330521313
123,0.0724765978431617
124,0.07458332898575369
125,0.0755639734204595
126,0.07497871669055313
127,0.07260181578337715
128,0.07830207273726023
129,0.07620502127359961
130,0.08041652540655553
131,0.07900213469706947
132,0.07566990589512419
133,0.08052939175963722
134,0.07999739027623447
135,0.07950211744984687
136,0.08137868360722728
137,0.08153027660772416
138,0.08408719509960982
139,0.08089129918154538
140,0.0857811427798579
141,0.08489061629138274
142,0.08118220417260054
143,0.08071929841591471
144,0.08288952085695148
145,0.0840990941339354
146,0.08282937942203343
147,0.08456401186669119
148,0.08530170928713056
149,0.08303216340407944
150,0.0848892337428752
151,0.08312424876532856
152,0.08542260063679248
153,0.0838978509098556
154,0.08566330877249305
155,0.08640831809755531
156,0.08840360797498811
157,0.08363058912405921
158,0.08418741614797821
159,0.08363863082554081
160,0.08544315835748742
161,0.08275642088486976
162,0.0867225586484374
163,0.08571438685738407
164,0.08311190892594951
165,0.08241708114416205
166,0.08513300806251427
167,0.08404168406386825
168,0.08625904438837298
169,0.08224482812515131
170,0.08324216347941679
171,0.08231434636434166
172,0.0851992357142691
173,0.08475593778316554
174,0.082059539991316
175,0.0820525316066454
176,0.08035083404596056
177,0.07915535583000544
178,0.08117652433761076
179,0.08036184970047601
180,0.07948168857476161
181,0.07626267941144568
182,0.08051684829953554
183,0.07408189787434137
184,0.07568841311208203
185,0.08042273449169636
186,0.07527953709314747
187,0.07798118909931517
188,0.07381240649293902
189,0.0756035986258207
190,0.07602930827185843
191,0.07462617961237135
192,0.07313612927493714
193,0.07243265815080081
194,0.07503523155937868
195,0.07321646466136432
196,0.07216109508001371
197,0.07287581255755075
198,0.0725118069402739
199,0.07202068077509356
200,0.07373847311694101
201,0.0709608167422162
202,0.06910589723585484
203,0.0685237660706845
204,0.06768559392884041
205,0.06867646584572126
206,0.07004921254860863
207,0.06976460382342732
208,0.06801982969155636
209,0.0674364150241764
210,0.06800599790568809
211,0.06849990602090864
212,0.0654577090485666
213,0.06736794434763273
214,0.06406228370474969
215,0.06257977832090364
216,0.06653359374652078
217,0.06469549571286434
218,0.06531635344100233
219,0.06295736809285091
220,0.068622758213782
221,0.06582246552544459
222,0.06948301001804445
223,0.06564939445945439
224,0.06241844751227784
225,0.06330858092907721
226,0.06674754780115116
227,0.0645095678144364
228,0.0693695452667389
229,0.0639602018276355
230,0.0671710546329993
231,0.07004214927201122
232,0.06575789848602803
233,0.06739427598224317
234,0.06853011510572372
235,0.062258498221956546
236,0.07227568588873641
237,0.07079875176819334
238,0.07076041157086652
239,0.06949159025629431
240,0.07093584959613121
241,0.07488784358160032
242,0.07608286353435598
243,0.06771706888352702
244,0.07336805334544412
245,0.07098262180875546
246,0.07315312817549804
247,0.07573974150115999
248,0.07397633658755305
249,0.0751570601346503
250,0.07466137366122651
251,0.07656699373772273
252,0.07797875969770833
253,0.07370429157179417
254,0.07733958298708786
255,0.0782001056867125
256,0.07791616353544074
257,0.0761415847169836
258,0.07743244886869759
259,0.07691463998701435
260,0.08085892179122581
261,0.07926343178922302
262,0.08123134458246652
263,0.08086891368191874
264,0.07905632565850686
265,0.08342989451358963
266,0.08005626715411239
267,0.08129023066153916
268,0.07980162729906272
269,0.08221972299029533
270,0.08559952520263805
271,0.08420640900781644
272,0.08618396830151825
273,0.08466297781726188
274,0.08767795231468963
275,0.0823392446548217
276,0.0843648873133282
277,0.08903353395237168
278,0.08684186091237993
279,0.08250416481781193
280,0.08425522620642295
281,0.0843309686673004
282,0.08532139278650991
283,0.0880505495575768
284,0.08495258864283264
285,0.08681864980136228
286,0.08456874050094322
287,0.0828125254329683
288,0.08425100919012136
289,0.08255457886294854
290,0.08878230642593886
291,0.08174258304648743
292,0.08541206115305282
293,0.08349928241766044
294,0.07816870874353515
295,0.08548352346663143
296,0.08758058850844824
297,0.0826397726507148
298,0.08062526086763211
299,0.08171759868411943
300,0.08414645928907526
301,0.08519761051690354
302,0.08348991154394629
303,0.08030453104906751
304,0.08031457294300531
305,0.08055420703444816
306,0.0804692266786148
307,0.07865322948247083
308,0.07839594623813058
309,0.080741673249429
310,0.07614417650559228
311,0.07815930990408249
312,0.07599926154849168
313,0.07612126053893634
314,0.07368548129856849
315,0.07551928766555586
316,0.07705060345102638
317,0.07423051133612578
318,0.07159838405726596
319,0.0702127955548794
320,0.07360309008192799
321,0.07331716173066084
322,0.07178688382539603
323,0.07062890366672789
324,0.06881546269015192
325,0.06697756819133216
326,0.06911968843952344
327,0.07108713607546682
328,0.06735655554645313
329,0.07028967524334147
330,0.06387107556556353
331,0.06721282417052382
332,0.06712070693764173
333,0.06660315562401081
334,0.06827296630536882
335,0.06517047223771533
336,0.06580690756490122
337,0.06673119816387824
338,0.06710856916756103
339,0.06807819418847508
340,0.064948860655508
341,0.06581779600808928
342,0.06875149144252454
343,0.06642510727884454
344,0.06584178015472573
345,0.06613111638597281
346,0.0651229213271187
347,0.061492845744799504
348,0.0642395153556364
349,0.06888771397585837
350,0.06576866294562875
351,0.06799764109806924
352,0.06489031211051305
353,0.0672772002958808
354,0.06724321651914611
355,0.06599162270096061
356,0.06745867753747779
357,0.07056984516286938
358,0.06888212156742574
359,0.06809622164143746
360,0.06796856905808278
361,0.06704408203044968
362,0.06869171178027914
363,0.06840977387346775
364,0.0697788285389219
365,0.06861974426768935
366,0.07146027674442403
367,0.07067750675983177
368,0.06815834203027801
369,0.0708835642658883
370,0.06944588174653803
371,0.0749870812099362
372,0.07212565833756032
373,0.0742469282242063
374,0.07396877414311784
375,0.07807667258633397
376,0.07572469370447764
377,0.07494638834877132
378,0.07714031261605289
379,0.07908900058586767
380,0.07538119440414934
381,0.07945152572244671
382,0.07477060038427628
383,0.07770348360264265
384,0.07813003847596423
385,0.07987297806601538
386,0.08140126309036333
387,0.07644410908853441
388,0.0799188612820074
389,0.08030378570538392
390,0.08087026967194451
391,0.08057672780278273
392,0.08268625594580334
393,0.08431167563452144
394,0.08358125767216804
395,0.08349167125765884
396,0.08381971214620748
397,0.0805959847645203
398,0.08439044966222714
399,0.08615351529618637
400,0.08445489201336179
401,0.08422044351844643
402,0.0856657619754674
403,0.08903566165897008
404,0.08248892426473513
405,0.0876218958739694
406,0.08623524246889873
407,0.08857580759478768
408,0.08523084734192199
409,0.08119764198115278
410,0.08332657765961403
411,0.08544291461588913
412,0.08176176267083708
413,0.08601786336257901
414,0.08388312268024364
415,0.08714709201500284
416,0.08156839499182583
417,0.0831051167743623
418,0.0854187611279374
419,0.08564095241637909
420,0.08101018636204185
421,0.08140923665196678
422,0.08393949706902128
423,0.08283578616851531
424,0.08150726874633499
425,0.08022931595142223
426,0.08289736388441973
427,0.0830446039430772
428,0.07996512786430476
429,0.07916261662525076
430,0.07806626739773843
431,0.08106898078031571
432,0.07976769994735325
433,0.07724269882102566
434,0.07851885392894252
435,0.0779266497127774
436,0.07581974856305213
437,0.0780521940581596
438,0.08108191912719974
439,0.0757210895845147
440,0.07619980523292559
441,0.07724046382375334
442,0.07699582001675255
443,0.0763070937282211
444,0.07821537094212108
445,0.06905213569119946
446,0.07096646287807111
447,0.06925236753592784
