time_sec,S_E_median,S_E_percentile_2_5,S_E_percentile_97_5
0.0,0.00024652044644574156,0.0001340628939220101,0.0003695313341118915
0.01,0.0005041706160994197,0.0002741783604535558,0.0007557459962180016
0.02,0.0007512416662555088,0.00040854068400865976,0.0011261026790041397
0.03,0.0010028679419542552,0.000545380232992887,0.0015032875928608436
0.04,0.001240172316865018,0.000674431237481879,0.0018590041409834216
0.05,0.0014828916587923957,0.0008064270125130724,0.002222837662828513
0.06,0.0017366946230794045,0.0009444502895632146,0.0026032854080224785
0.07,0.0019870003590010676,0.001080571701830424,0.002978490847832989
0.08,0.002228453434626687,0.0012118788551780336,0.0033404262509516823
0.09,0.0024796034230449293,0.0013484593893336922,0.003716897215613939
0.1,0.0027287230744386104,0.0014839357844165985,0.004090324728261539
0.11,0.00298976940752288,0.0016258981545388242,0.00448163020056785
0.12,0.0032425339693528676,0.0017633567269551371,0.004860521392336645
0.13,0.0035032404701413333,0.0019051342892786927,0.005251317459912109
0.14,0.0037677546713518195,0.0020489825574812634,0.005647821226938899
0.15,0.004030278353361172,0.0021917483403633754,0.006041341228413683
0.16,0.00429987244284874,0.002338359156391379,0.006445459689958477
0.17,0.004566575515625726,0.0024833977780143734,0.006845244550467856
0.18,0.00483064006736994,0.0026270015175803574,0.007241074298079217
0.19,0.005097026933632676,0.002771868179591078,0.007640385168634564
0.2,0.005371098062174728,0.002920913701626202,0.008051214660597269
0.21,0.005635048882144333,0.0030644555915116225,0.008446873925577152
0.22,0.005903148835578964,0.003210253865594082,0.008848752694240677
0.23,0.006174696177600136,0.0033579269005616003,0.009255799059028444
0.24,0.006436735911594271,0.0035004295025498626,0.00964859362795481
0.25,0.006702444092307858,0.0036449270813869563,0.010046887156622199
0.26,0.006973693883041199,0.003792438301838447,0.010453487495427254
0.27,0.007244143062961561,0.003939514133647537,0.010858887727766305
0.28,0.007514717726074038,0.004086658205799826,0.011264476057977358
0.29,0.007789777616107385,0.004236241436689717,0.011676787692124331
0.3,0.008055117791933797,0.004380538886892902,0.012074529585668113
0.31,0.008322644848224092,0.004526025607713854,0.012475549588054366
0.32,0.00860719120119885,0.004680767772450187,0.012902081321821005
0.33,0.008870359211951673,0.004823883954567801,0.01329656716472413
0.34,0.009144516115828005,0.004972976122995538,0.0137075252329334
0.35000000000000003,0.009407014848174411,0.005115728337737205,0.014101007835148114
0.36,0.009680094111077064,0.005264234462817961,0.014510350531843769
0.37,0.009953943770838747,0.005413159545570909,0.014920848044633447
0.38,0.010228323188597843,0.005562372721629081,0.015332139658611858
0.39,0.010498333900489987,0.0057092101054976255,0.0157368826323837
0.4,0.010764449216052907,0.005853929092647431,0.016135786451540908
0.41000000000000003,0.011023720744299026,0.00599492628736055,0.016524431511661948
0.42,0.011302587986392443,0.006146580034682989,0.016942450323069385
0.43,0.011568229979516342,0.0062910416193460664,0.01734064463729552
0.44,0.011831111767052427,0.00643400214738584,0.017734701434865302
0.45,0.0120984957875927,0.0065794110824213305,0.018135507028295892
0.46,0.012349749943180832,0.006716048264828423,0.018512134138356166
0.47000000000000003,0.012607589408339503,0.006856266674152637,0.018898632552262554
0.48,0.012870094164824042,0.006999022164944572,0.01929212418459157
0.49,0.013124326044257839,0.007137278694881688,0.01967321486869273
0.5,0.013370567579820747,0.007271189911323659,0.020042328118576133
0.51,0.013627228848701822,0.007410767593256257,0.020427060429716537
0.52,0.013880804086928045,0.007548667028186332,0.020807166816146038
0.53,0.014139486419385838,0.007689343806099972,0.021194928678508956
0.54,0.014394134711274209,0.007827826789702617,0.02157664356012438
0.55,0.014642082834427805,0.00796266608361014,0.021948314965318162
0.56,0.014907269624196917,0.008106880119317608,0.022345826934913583
0.5700000000000001,0.015153562904481277,0.008240819475604478,0.022715017749543598
0.58,0.01539962525040206,0.008374633245030114,0.023083862396199844
0.59,0.015656506595372988,0.008514330608871148,0.02346892459888584
0.6,0.015908754505063905,0.008651508215217785,0.023847041334997956
0.61,0.01616414480087014,0.008790394715826766,0.024229868472012993
0.62,0.016415564461019327,0.008927121903021536,0.024606743671520447
0.63,0.01665842605974638,0.009059195040229027,0.0249707904346838
0.64,0.016914283762043958,0.009198335726110543,0.02535431820869184
0.65,0.01714603927146202,0.009324369143309641,0.02570171707080575
0.66,0.01738199935676088,0.009452689095432638,0.026055418544151138
0.67,0.017618004465695503,0.009581033532335678,0.02640918750741237
0.68,0.017850832270430217,0.009707650085803321,0.026758193727960983
0.6900000000000001,0.0180798586223731,0.009832199330981756,0.02710150161418461
0.7000000000000001,0.01830587151486579,0.00995510979487274,0.02744029235910451
0.71,0.018535049411437354,0.010079741453140258,0.02778382740899619
0.72,0.018776292296805164,0.010210934300698358,0.028145447739318638
0.73,0.019004620246060366,0.010335103740117058,0.02848770872788879
0.74,0.019226397993830358,0.010455711045118561,0.028820151039232016
0.75,0.0194517691393159,0.01057827251377539,0.029157979812716322
0.76,0.01966509808373995,0.010694285185580797,0.02947775746432413
0.77,0.0198747327033571,0.010808288807500633,0.029791997365233032
0.78,0.02009469863695479,0.010927910810655195,0.030121723787821672
0.79,0.020308638230960407,0.011044255566274608,0.030442416796178887
0.8,0.020523126842857453,0.011160898889126117,0.030763932776085908
0.81,0.020736438311724503,0.011276902057363779,0.03108368423203323
0.8200000000000001,0.020946717403798498,0.011391256156673545,0.03139889018979559
0.8300000000000001,0.021163658731223056,0.011509233316723233,0.03172408276226993
0.84,0.0213838760835523,0.011628992046559853,0.03205418605866596
0.85,0.021589546739778864,0.011740839983581441,0.032362484023718524
0.86,0.02181188866533501,0.011861754100077733,0.03269577203112054
0.87,0.022021471081612565,0.011975729332746717,0.033009933679819504
0.88,0.02222395746401884,0.01208584559610975,0.033313458454777775
0.89,0.02243266037701447,0.012199342536787726,0.033626301738100516
0.9,0.02265187601388896,0.0123185565131377,0.03395490347446904
0.91,0.022859516205866404,0.012431475524247691,0.034266153751121395
0.92,0.02307126613373428,0.01254662949434246,0.03458356447494272
0.93,0.023282549096811156,0.012661529519370347,0.03490027522387459
0.9400000000000001,0.023487790545713205,0.01277314404461266,0.03520792981204896
0.9500000000000001,0.02368593646057776,0.012880899872368765,0.035504948275727796
0.96,0.02390082128649279,0.012997758664560006,0.03582705817592318
0.97,0.02411188826783861,0.013112541234276154,0.03614344517070678
0.98,0.024316914669931355,0.013224038812636356,0.036450777406169525
0.99,0.024523731530299298,0.013336510079066936,0.036760793518141016
1.0,0.024728767670113172,0.013448012953000353,0.03706814035033658
1.01,0.02493688892359658,0.013561193575260934,0.037380111732692956
1.02,0.025150147670464362,0.013677168072190134,0.03769978415896544
1.03,0.025359455522491803,0.013790993991167592,0.038013534238989025
1.04,0.025572923145599835,0.013907082079296217,0.038333519768360254
1.05,0.025787034324693703,0.014023520146419007,0.038654469980805316
1.06,0.025996612981792122,0.014137493334769118,0.0389686259945378
